policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s0_steps,s0_touchdown_mps,s0_peak_grf_bw,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s1_steps,s1_touchdown_mps,s1_peak_grf_bw,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s2_steps,s2_touchdown_mps,s2_peak_grf_bw,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s3_steps,s3_touchdown_mps,s3_peak_grf_bw,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s4_steps,s4_touchdown_mps,s4_peak_grf_bw,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s5_steps,s5_touchdown_mps,s5_peak_grf_bw,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s6_steps,s6_touchdown_mps,s6_peak_grf_bw,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s7_steps,s7_touchdown_mps,s7_peak_grf_bw,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s8_steps,s8_touchdown_mps,s8_peak_grf_bw,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s9_steps,s9_touchdown_mps,s9_peak_grf_bw,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s10_steps,s10_touchdown_mps,s10_peak_grf_bw,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2,s11_steps,s11_touchdown_mps,s11_peak_grf_bw,s12_e_legs_upper_j,s12_e_legs_lower_j,s12_e_waist_j,s12_e_arms_upper_j,s12_e_arms_lower_j,s12_v_legs_upper_krads2,s12_v_legs_lower_krads2,s12_v_waist_krads2,s12_v_arms_upper_krads2,s12_v_arms_lower_krads2,s12_steps,s12_touchdown_mps,s12_peak_grf_bw,s13_e_legs_upper_j,s13_e_legs_lower_j,s13_e_waist_j,s13_e_arms_upper_j,s13_e_arms_lower_j,s13_v_legs_upper_krads2,s13_v_legs_lower_krads2,s13_v_waist_krads2,s13_v_arms_upper_krads2,s13_v_arms_lower_krads2,s13_steps,s13_touchdown_mps,s13_peak_grf_bw,s14_e_legs_upper_j,s14_e_legs_lower_j,s14_e_waist_j,s14_e_arms_upper_j,s14_e_arms_lower_j,s14_v_legs_upper_krads2,s14_v_legs_lower_krads2,s14_v_waist_krads2,s14_v_arms_upper_krads2,s14_v_arms_lower_krads2,s14_steps,s14_touchdown_mps,s14_peak_grf_bw,s15_e_legs_upper_j,s15_e_legs_lower_j,s15_e_waist_j,s15_e_arms_upper_j,s15_e_arms_lower_j,s15_v_legs_upper_krads2,s15_v_legs_lower_krads2,s15_v_waist_krads2,s15_v_arms_upper_krads2,s15_v_arms_lower_krads2,s15_steps,s15_touchdown_mps,s15_peak_grf_bw,s16_e_legs_upper_j,s16_e_legs_lower_j,s16_e_waist_j,s16_e_arms_upper_j,s16_e_arms_lower_j,s16_v_legs_upper_krads2,s16_v_legs_lower_krads2,s16_v_waist_krads2,s16_v_arms_upper_krads2,s16_v_arms_lower_krads2,s16_steps,s16_touchdown_mps,s16_peak_grf_bw,s17_e_legs_upper_j,s17_e_legs_lower_j,s17_e_waist_j,s17_e_arms_upper_j,s17_e_arms_lower_j,s17_v_legs_upper_krads2,s17_v_legs_lower_krads2,s17_v_waist_krads2,s17_v_arms_upper_krads2,s17_v_arms_lower_krads2,s17_steps,s17_touchdown_mps,s17_peak_grf_bw
gr00t_wbc_h074_p000,2560,complete,90,18,8.14691,2.53056,0.0240726,0.0093513,248.123,23.0214,19.8046,64.438,3.10531,24.1491,13.4264,3.83607,10.8729,2.80275,13,0.496452,1.12092,213.143,21.8432,12.8091,19.4549,2.04006,17.8364,8.82091,3.14351,4.49333,2.98534,11,0.598502,1.32158,128.719,14.654,13.0319,24.4283,1.39741,10.5746,6.1893,2.05804,6.6242,3.40155,9,0.430737,1.02726,271.538,34.1257,14.9473,14.7117,1.67313,20.5068,11.7456,3.53222,6.00137,2.93498,9,0.614581,1.47275,306.685,32.6464,13.4819,18.7316,2.71297,23.7949,11.3551,4.00113,5.85424,4.21292,12,0.595529,1.72652,313.945,39.0206,17.8897,21.5151,1.40242,22.9903,12.0484,3.55821,4.28246,1.42343,18,0.456359,0.954182,214.274,23.5737,13.4966,20.2771,1.46423,17.1444,9.36645,2.68894,3.31612,1.14286,16,0.406003,0.815144,348.342,34.0809,27.1191,76.5154,2.98528,26.6067,15.3646,4.71116,10.7819,3.42316,16,0.529166,1.16855,279.482,27.0509,14.0894,18.6131,1.97938,22.4904,9.83636,3.85663,4.97883,1.42783,13,0.528502,1.39137,435.722,110.697,27.2619,31.27,1.20269,33.5158,22.5527,5.47929,9.65568,2.94723,17,0.60709,1.20412,334.547,31.9671,16.4009,24.8659,1.56955,25.5756,12.2479,3.61248,6.18482,2.69449,10,0.703764,1.5097,314.93,32.1734,18.8763,22.429,1.08293,25.0661,12.5509,4.1933,5.49926,1.72987,14,0.622252,1.32224,196.698,20.4076,13.1467,21.3997,1.33321,17.3423,7.98383,2.94045,3.81202,1.44007,15,0.42112,0.902128,611.599,69.3219,28.2505,31.2031,7.4949,43.2856,21.5169,6.56629,8.46193,5.64763,20,0.638326,1.53534,249.474,27.9614,40.0238,29.6339,2.80607,19.7936,10.316,4.09733,12.4421,7.35681,13,0.467029,1.10638,447.11,47.9489,23.5619,35.6615,2.16169,32.2097,16.0272,5.58238,16.6695,5.39413,18,0.580565,1.42261,222.547,27.182,25.1037,25.5359,4.57331,18.9382,9.13445,3.70121,9.95875,6.72062,13,0.441191,1.11805,340.965,73.7268,24.5044,20.2912,1.46496,24.0709,15.4029,4.39,6.85183,4.61552,12,0.606415,1.40761
gr00t_wbc_h074_p000,2561,complete,90,18,8.891,2.36262,0.0275204,0.0321601,202.415,20.4006,9.60916,12.2553,1.48676,19.1512,12.135,3.05712,5.08426,0.961561,12,0.410966,0.96958,240.129,22.1715,10.2548,17.4208,1.08443,20.1801,10.395,3.20232,5.45909,0.940744,12,0.50865,1.19946,262.869,22.523,11.9488,22.7413,1.35978,21.1845,11.35,3.91638,9.13857,2.22,12,0.569395,1.33664,131.393,10.8243,6.2691,14.0339,1.69882,11.1034,5.39449,1.9276,2.79077,1.06746,7,0.530249,1.28122,358.389,39.7616,19.6046,53.5109,3.12047,27.9273,13.3501,4.46241,10.3498,3.9191,13,0.442588,1.47596,121.303,15.1182,7.01921,15.7496,1.04129,11.2605,7.91552,1.79487,2.76903,1.37344,6,0.546157,1.3287,276.037,24.68,10.0984,11.6763,1.42298,21.4819,10.4638,3.46027,7.22734,1.92948,12,0.510356,1.16237,225.836,24.1661,11.3656,10.6975,0.718323,19.694,9.2808,3.55407,5.17752,1.42304,12,0.513734,1.14833,277.365,22.3496,12.8946,19.296,0.980779,22.5806,12.2618,3.81404,4.90747,0.944291,14,0.519133,1.16515,318.761,41.6348,17.4548,25.9519,1.32867,25.6866,14.3941,3.90595,5.47219,1.2153,15,0.716862,1.16909,297.249,35.1313,21.2461,68.5406,1.05487,24.3681,13.9437,4.30019,9.46357,1.65149,18,0.444428,1.08208,601.382,58.1799,41.4312,38.635,1.30442,45.0807,20.4981,7.46908,9.29157,2.06653,19,0.611825,1.8421,347.105,31.7712,20.7202,31.2192,1.13811,28.7603,14.9109,5.01046,6.80025,1.77394,18,0.566555,1.35319,244.613,24.3937,11.6639,23.4433,1.40845,20.5596,13.1128,2.95992,5.05801,1.15893,12,0.566393,1.3009,712.833,142.917,34.9982,33.2108,0.687338,51.5145,32.7299,7.58838,10.8993,2.80551,19,0.692812,1.29454,527.583,93.3069,39.4931,25.2571,1.15074,32.6222,23.3775,5.50843,7.3532,3.13839,18,0.683897,1.22994,423.268,43.9061,20.265,14.2191,2.32345,28.5481,16.8962,4.04914,6.9391,4.16018,13,0.570042,1.30496,452.319,52.3146,24.3557,20.4351,1.28361,30.2069,16.6423,4.93587,7.44499,1.62864,23,0.682633,0.862591
gr00t_wbc_h074_p000,2562,fell,46.12,10,23.4248,20.5789,0.948204,2.27372,198.926,26.361,10.3072,13.5968,18.1889,18.9439,12.5459,2.82971,8.98248,6.49829,11,0.480288,1.01177,176.497,19.5607,14.8892,23.0891,9.14536,16.9615,9.15686,3.31021,8.19977,5.71048,11,0.493348,1.22767,128.797,13.1714,12.4325,25.8889,3.68987,10.0162,6.36722,2.17025,5.16787,3.2139,7,0.545043,1.25849,264.035,40.2137,19.2496,12.2602,0.848583,20.5237,11.8429,3.79409,4.57272,2.27021,11,0.605271,1.52005,197.101,20.7328,18.355,28.04,1.53739,18.1529,12.2331,3.63169,8.30474,2.42101,13,0.488824,1.14981,335.059,34.949,18.9703,14.269,1.22669,27.8306,16.072,4.93619,5.79712,2.1342,14,0.645801,1.60435,378.38,43.3471,26.1784,17.7986,1.47831,27.7769,16.8662,4.43283,7.00786,1.87765,16,0.600666,1.22876,318.212,47.2682,28.7868,24.3106,0.751919,28.132,18.1098,4.77093,9.2092,1.35959,17,0.487118,1.08439,303.534,32.3104,15.8935,20.5204,0.678215,25.2828,14.158,4.28905,5.38096,1.95288,17,0.505986,1.18828,2757.43,167.261,97.1157,57.7071,0.700493,98.2115,35.8405,12.4142,18.9523,2.97494,4,0.788181,1.49153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gr00t_wbc_h074_p000,2563,complete,90,18,11.2983,3.16719,0.0206404,0.0219473,224.389,23.7328,10.2758,16.3037,1.18069,19.6824,9.73515,3.13305,4.93766,1.0758,14,0.408779,0.886859,180.525,14.5374,9.99015,30.7511,2.29943,15.9391,8.34961,2.88526,8.30708,1.99831,13,0.442043,0.944374,167.856,25.5162,11.4547,44.6395,2.09756,15.9876,9.15859,2.86223,10.4957,3.23583,12,0.551124,0.925573,331.297,31.1292,15.337,30.4744,0.855537,25.9445,14.5652,4.413,8.52626,1.51543,15,0.551788,1.25765,235.23,23.3517,17.0588,16.2099,1.68495,17.6766,9.94581,3.08537,5.59596,1.37542,13,0.463853,1.02743,312.772,26.6933,22.936,19.1234,0.870915,23.8595,12.0131,4.37121,6.5091,1.12359,14,0.575195,1.39278,301.274,38.4387,13.1569,16.8826,1.78769,23.8095,13.6893,3.18724,8.54634,2.44339,10,0.657637,1.4106,456.85,55.4829,19.5388,77.8337,4.05985,31.6496,19.1067,5.06591,14.81,4.81992,18,0.518519,1.22622,1231.44,104.203,53.2318,131.482,5.44041,72.9833,31.038,9.40429,22.9249,7.68588,18,0.558229,1.28218,247.341,24.8656,13.3409,21.7626,1.68467,19.445,8.51545,3.54502,8.18152,4.08,9,0.515876,1.57004,331.133,25.3754,21.2258,25.141,0.693254,21.807,11.2513,3.36511,6.19691,1.86069,10,0.504698,1.38469,470.026,72.5082,28.6266,39.8642,1.59336,35.2906,20.5237,5.20911,11.1342,3.02989,14,0.567485,1.42543,790.155,66.6745,31.7059,33.3524,0.89797,40.8879,20.28,5.79106,9.05627,1.5877,14,0.551285,1.8212,703.33,67.0983,32.0258,29.5149,1.45146,48.7025,21.6745,6.87505,9.05591,2.26121,18,0.530123,1.71939,292.549,38.4276,16.7573,24.3256,1.39135,23.3123,12.6811,4.04925,4.37072,1.37918,12,0.649242,1.63623,450.345,66.6984,40.8275,121.652,42.1951,33.1778,18.7839,6.1902,15.1219,8.4143,17,0.514275,1.55597,982.441,163.014,86.4572,195.33,144.614,65.0463,31.1253,10.2517,22.4702,13.961,11,0.647646,1.83982,397.564,91.3307,81.3328,40.1837,2.02747,32.3064,19.7062,5.65126,9.35608,3.65426,12,0.572691,1.54575
gr00t_wbc_h074_p000,2564,complete,90,18,8.50672,3.24794,0.0301488,0.0441594,261.259,28.5333,13.2771,18.3386,2.17059,23.7805,15.4489,3.71345,4.94907,1.26535,18,0.435054,0.835078,241.227,19.3231,12.1229,14.9815,1.47368,21.051,11.4811,3.47162,4.27168,1.12946,13,0.509318,1.1443,168.148,14.8421,5.79622,10.5477,1.30241,12.9244,8.32152,1.94866,4.35356,1.61575,8,0.303486,0.953892,300.052,26.9197,12.3046,15.495,1.06214,24.0699,14.721,3.6615,4.70018,1.77365,15,0.524927,1.17134,200.904,25.8404,12.1306,19.0432,1.26914,16.1218,9.34316,2.63172,4.48609,1.20355,9,0.625744,1.26432,155.22,14.4897,7.10585,20.0496,0.502221,12.3191,6.82446,2.07479,3.42845,0.705968,8,0.550153,1.13807,194.161,22.105,9.34262,36.3926,1.51996,14.255,7.7276,2.51336,7.67156,3.14953,12,0.442352,0.954007,245.39,20.5353,8.95587,13.9131,1.07318,18.9388,10.6098,3.34374,7.8656,4.23161,11,0.512935,1.19546,325.481,35.5292,18.8306,17.0163,1.24663,26.1646,12.6663,4.51161,8.52952,3.39556,16,0.52195,1.16732,331.354,63.8511,19.9468,13.2279,1.4264,25.1211,15.8353,3.91714,6.82677,3.17511,16,0.505973,1.06182,249.808,25.0526,14.9171,17.6075,1.3706,21.4549,9.50211,3.62669,4.83264,1.48998,10,0.49557,1.3676,220.26,32.2816,16.3913,16.1767,1.44596,17.5634,9.93891,2.73529,5.28195,1.77494,9,0.50052,1.25968,281.371,32.7349,18.3721,20.3936,0.931502,19.5227,9.90064,3.69908,4.86133,1.42986,11,0.608179,1.58998,345.703,41.8696,17.0796,13.3759,1.74051,29.9728,16.2881,4.81265,7.14476,3.6113,21,0.503913,1.07055,531.446,50.5345,30.6992,38.7714,1.43115,30.0745,18.3842,4.6188,6.89115,1.67644,15,0.486216,1.42595,332.415,25.2697,15.889,22.5779,2.01709,23.5688,11.5658,3.30436,5.37465,1.48434,12,0.385396,1.04436,194.643,35.8865,13.0786,7.9841,1.16428,15.4709,10.1232,2.96175,5.63523,1.98454,9,0.584621,1.2195,287.56,31.6074,11.0273,16.4654,1.11551,20.2645,9.61167,3.68037,5.4561,1.32574,12,0.647099,1.33513
gr00t_wbc_h074_p000,2565,complete,90,18,7.26559,2.52027,0.00605152,0.0073821,210.757,23.4527,9.11724,13.7531,1.80002,17.2979,9.87407,2.60264,4.90219,1.41125,11,0.461578,0.954671,126.715,9.15975,9.53971,15.5855,2.02405,10.9383,6.92276,2.11537,4.58185,1.13749,8,0.468013,1.02235,243.862,18.492,13.1261,30.6629,1.8971,21.7173,11.8596,4.06776,7.7961,2.36361,17,0.44854,0.984255,400.889,48.0346,15.7945,17.4302,1.4957,29.0262,17.4969,5.28948,8.51638,2.43678,17,0.603472,1.36532,210.671,17.8072,14.8939,14.3669,1.21709,17.1132,11.7094,3.22763,5.18027,1.12823,12,0.457803,1.11865,134.028,12.1735,10.7643,10.4596,1.1638,11.2017,6.61717,2.13991,4.54413,1.37704,7,0.522406,1.18018,202.717,24.3793,10.2407,17.9292,1.09858,14.8995,9.66868,2.53358,4.64643,1.13371,10,0.558873,1.15372,211.961,21.9852,11.1986,12.7221,1.84258,15.9872,9.44255,2.79228,4.81,1.57132,13,0.428324,0.910951,393.265,43.7051,17.4299,18.6557,1.41464,30.3698,17.8322,4.89385,8.72331,1.80032,13,0.644256,1.60138,317.857,44.7448,20.9536,34.4963,151.784,25.9205,15.9911,4.55363,12.2077,7.14346,16,0.516827,1.25032,299.951,53.4711,21.5981,12.6972,1.06441,23.8106,17.4039,4.14117,4.38248,1.67027,13,0.610109,1.34145,237.402,36.6204,27.2991,51.0647,28.8886,20.6931,10.7122,4.34783,9.51978,8.599,10,0.636996,1.49209,258.346,31.4287,25.5044,10.4499,1.30762,21.4693,11.923,4.1211,4.53258,1.47332,12,0.548766,1.39477,508.119,76.1535,29.1347,65.879,1.7023,36.0726,23.5436,6.0098,13.223,2.88492,16,0.589298,1.38763,271.615,25.4273,16.0667,13.5633,1.5856,21.7608,11.0112,3.64996,3.72066,1.81654,11,0.528758,1.44022,281.452,28.1779,24.8204,62.8933,4.79352,25.1819,12.6329,4.56609,11.5708,4.53542,13,0.569389,1.21258,481.906,91.4932,27.7453,40.5484,1.04141,40.5319,25.6658,6.65344,11.648,2.99372,21,0.499015,1.19543,348.129,33.8825,22.1908,21.9004,1.70023,26.568,16.885,4.00387,4.64648,1.87993,14,0.516477,1.20974
gr00t_wbc_h074_p000,2566,fell,80.74,17,10.1356,8.88348,1.79598,3.57175,247.953,26.1454,10.2724,8.91987,1.82105,21.9291,11.4298,3.24715,5.58298,1.85,12,0.48741,1.0091,109.012,14.2458,5.14932,11.1653,0.908773,8.57067,5.2996,1.4623,2.3735,0.744592,7,0.477876,1.10497,218.388,33.7904,13.9396,41.1018,2.94598,17.7538,9.34281,3.02726,10.1844,4.90098,9,0.64801,1.35129,317.045,33.0107,15.3434,20.2621,3.03129,23.4981,11.9202,4.12146,7.82033,4.16025,14,0.615441,1.22749,353.551,41.5712,23.3687,35.0988,28.0757,28.04,15.3568,4.57763,9.45041,7.19155,14,0.553634,1.3334,299.97,30.0248,15.2518,26.1402,1.05158,22.6781,10.8495,3.51208,5.11957,1.48608,13,0.590249,1.31854,371.887,36.8419,18.1937,30.4422,0.884266,26.6372,12.4149,4.32577,5.46359,1.63659,17,0.539943,1.28127,349.269,30.2194,27.3222,89.0469,7.91142,27.4175,16.2406,4.90087,16.1877,6.8853,23,0.414005,0.970226,255.285,22.4404,17.9224,29.6021,0.847473,20.2772,8.75805,3.75381,4.70858,1.25303,16,0.473475,1.10254,120.792,19.0442,54.8883,81.7825,131.048,10.8821,6.20976,3.20415,15.0796,10.0203,4,0.541937,1.45218,502.091,121.964,47.0505,53.7566,34.0983,36.111,23.5205,6.32113,16.3205,15.3979,14,0.653227,1.7855,305.361,39.5519,18.9794,12.5668,1.66992,24.0458,13.1795,3.73936,5.39566,2.76524,11,0.53287,1.51732,825.57,57.9528,30.4818,14.2351,1.47386,37.6547,16.6579,6.56682,10.2089,2.73661,9,0.493834,1.97992,288.744,30.9673,15.3313,11.773,1.77599,23.7739,10.6319,3.81213,5.18596,2.0265,17,0.540607,1.16188,311.281,43.539,17.9246,8.68115,2.38042,25.6435,13.8335,4.13343,5.60854,2.71645,19,0.460769,1.07841,529.636,74.4544,88.153,263.92,46.6699,44.5744,23.4367,10.8674,33.7543,15.2884,19,0.465051,1.24181,2144.21,116.81,88.0633,11.507,0.231415,57.3058,17.1997,7.49655,8.15067,1.78487,0,,,,,,,,,,,,,,,
gr00t_wbc_h074_p000,2567,fell,80.52,17,10.9589,8.86152,2.99324,3.86395,306.168,27.2962,19.2598,41.2051,7.2632,28.9326,13.8377,4.49754,11.3661,5.59092,17,0.470391,0.997747,148.667,10.2909,9.128,26.645,8.22886,12.6705,6.69506,2.17309,5.67516,3.882,9,0.465732,1.03552,135.176,10.397,19.0737,49.4285,8.08492,12.4288,6.75352,2.63735,9.8854,8.50975,10,0.389165,0.939593,319.018,29.5838,18.0449,28.319,1.13953,28.0299,14.8968,4.44795,7.05542,1.26684,22,0.432256,0.904759,228.706,21.0966,14.5372,21.1169,1.13985,21.5486,12.0545,3.86112,6.47484,1.14415,15,0.470546,1.09455,205.207,18.9,8.63,20.1068,1.09386,16.1751,10.0755,2.52924,4.57548,0.876768,9,0.430099,1.08864,39.4718,11.4416,4.71613,10.6111,1.21211,5.20526,3.15202,1.08015,3.28109,0.683729,3,0.649269,1.02552,226.462,32.5754,17.8027,9.50517,0.786196,18.9279,9.90519,2.86028,4.23931,1.11278,12,0.574547,1.18925,137.734,24.5288,18.8587,12.7297,0.941021,13.714,6.46793,2.12087,4.53257,1.07191,12,0.335206,0.804175,202.561,30.2008,15.128,14.0881,1.41348,14.652,8.97286,2.2315,4.56206,0.900029,11,0.449364,1.04236,237.723,33.3746,16.752,25.8851,1.5884,21.9168,13.5737,3.77941,6.19137,1.38674,13,0.477118,1.19108,720.418,84.1045,52.5794,39.9488,1.60287,55.0107,29.1346,8.5666,14.6128,3.34566,22,0.541569,1.63244,203.528,25.4939,8.69275,19.3018,1.02151,15.5096,6.81923,2.81442,3.68938,0.92143,9,0.499452,1.25863,581.475,60.4198,31.7187,34.2665,0.908714,38.325,19.1256,6.75016,11.3995,2.08247,25,0.363374,1.34638,397.939,73.9187,24.4059,28.324,1.70876,28.7597,17.8744,4.8148,8.57745,1.33597,15,0.650916,1.21628,265.132,29.4456,33.7327,155.196,8.77845,18.6683,11.1583,3.71703,15.2927,4.36946,11,0.490757,1.24925,763.256,7.77185,6.2883,3.76514,0.225021,15.8397,3.58028,1.45519,3.6971,0.391816,3,0.29022,0.74211,,,,,,,,,,,,,
gr00t_wbc_h074_p000,2568,fell,50.84,11,16.4477,2.83481,1.53944,3.08891,112.26,11.7865,6.57177,23.8457,1.6076,11.9367,6.56447,1.99262,5.96221,2.42245,11,0.261567,0.548863,280.501,24.5201,15.5096,24.7291,1.34391,22.1247,10.8693,4.15655,6.73461,1.22245,14,0.475081,1.34825,163.883,15.8719,9.34345,25.4701,1.02893,12.7028,6.70448,2.13592,3.04232,0.874534,10,0.486114,1.10878,204.616,23.5789,14.2312,31.8923,1.13203,16.8062,9.83035,2.86428,5.59792,1.37367,11,0.444349,1.12738,148.892,16.711,12.0407,23.8733,2.04779,12.4021,6.37655,2.69207,7.13189,2.63009,6,0.590355,1.61654,287.248,24.8222,21.7747,30.0013,1.29822,24.296,11.8194,4.59946,6.15975,1.83348,15,0.612729,1.40024,330.251,38.5834,16.3422,31.4928,1.4287,24.5827,14.7264,4.09069,5.19139,1.30247,18,0.532601,1.07682,218.508,21.4139,11.6511,15.1803,1.53117,16.6512,11.4513,2.72191,4.42823,1.31867,9,0.633056,1.39923,284.347,29.2634,9.65119,34.4315,2.15722,21.7867,10.91,3.07868,10.4487,2.87781,9,0.457106,1.40372,338.008,30.5058,10.2857,10.9308,0.990341,26.7037,16.1584,4.00921,4.66203,2.11711,17,0.515183,1.22295,2644.51,291.459,107.079,24.6327,4.65439,75.7053,31.1311,11.1767,15.674,4.96826,2,0.25971,0.929028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gr00t_wbc_h074_p000,2569,complete,90,18,12.034,3.11783,0.0236362,0.0338756,129.223,17.8941,9.11299,37.5619,7.82829,12.9815,7.17871,2.35722,8.04769,4.55399,8,0.349186,0.995239,302.531,29.0006,12.1421,19.6107,3.78674,25.5342,13.8574,4.20068,6.32549,4.8401,16,0.531514,1.11595,245.52,22.1781,9.93118,11.0268,1.45348,19.7458,10.36,3.30907,6.62382,1.31348,12,0.573855,1.37616,197.514,19.2544,8.35839,11.2539,1.80976,16.0467,10.9331,2.35471,3.00552,1.13413,13,0.407002,1.02098,433.749,78.8768,20.6618,11.0963,1.12602,28.0362,17.5242,3.98093,8.2745,1.60457,15,0.606091,1.02144,267.084,29.1481,11.6441,12.3841,1.28686,21.8847,12.9684,3.50472,8.74387,2.99819,11,0.586109,1.41996,224.862,20.7018,9.44257,16.4891,3.20133,20.5568,13.1141,3.21317,2.95539,2.51324,15,0.464228,0.979774,510.57,64.7067,20.3369,23.5697,2.60945,37.9362,25.294,5.78111,6.29182,4.08467,21,0.475375,1.16474,142.965,14.1216,9.62868,61.1869,2.01955,11.7646,6.5025,2.42864,9.01791,3.06956,8,0.469799,1.07149,265.701,31.1664,21.6863,178.773,14.0986,20.9607,11.4862,3.42219,17.3861,10.2802,5,0.569051,1.5386,381.287,28.8893,13.0863,16.0004,7.67808,24.4317,11.1972,3.66128,5.49041,3.99687,13,0.42751,1.28262,209.708,18.224,11.5616,33.0483,14.6745,19.6412,10.4091,3.58398,10.7814,6.31122,12,0.577594,1.16714,927.734,319.238,45.6274,107.123,4.26318,68.1572,56.9716,10.1293,22.5771,7.35,26,0.757858,1.27081,455.575,51.0643,19.6419,21.6169,1.48731,28.1605,13.1127,5.24046,8.97223,3.64285,20,0.572689,1.43281,208.593,23.5184,18.0966,44.2795,1.31332,18.34,11.9516,3.37099,6.98073,1.62437,10,0.519501,1.24364,305.593,30.902,17.2707,32.0641,1.50854,24.3395,14.4764,4.20458,5.26502,1.20017,14,0.608275,1.40585,264.436,48.4982,14.6906,12.7921,1.94519,21.8299,14.5637,3.51523,6.08692,1.75014,12,0.510378,1.17354,308.701,64.7093,30.9592,107.805,13.585,24.6613,16.4548,4.29863,19.9241,9.01466,11,0.583536,1.2182
